Cromossomo: 0,IDs: [7, 29, 45, 46],Nomes: [Dev7, Dev29, Dev45, Dev46],Fit: [0.92, 0.75, 0.75, 0.83],Nível: [Middle, Senior, Junior, Master],Total Fit: 0.58
Cromossomo: 18,IDs: [55, 8, 65, 89],Nomes: [Dev55, Dev8, Dev65, Dev89],Fit: [0.75, 0.75, 0.58, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 19,IDs: [],Nomes: [],Fit: [],Nível: [],Total Fit: 0.00
Cromossomo: 20,IDs: [7, 29, 45, 46],Nomes: [Dev7, Dev29, Dev45, Dev46],Fit: [0.92, 0.75, 0.75, 0.83],Nível: [Middle, Senior, Junior, Master],Total Fit: 0.58
Cromossomo: 21,IDs: [55, 97, 38, 85],Nomes: [Dev55, Dev97, Dev38, Dev85],Fit: [0.75, 0.75, 0.83, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.25
Cromossomo: 22,IDs: [81, 28, 94, 62],Nomes: [Dev81, Dev28, Dev94, Dev62],Fit: [0.83, 0.75, 0.67, 0.58],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 23,IDs: [104, 8, 65, 89],Nomes: [Dev104, Dev8, Dev65, Dev89],Fit: [0.58, 0.75, 0.58, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 24,IDs: [7, 29, 45, 46],Nomes: [Dev7, Dev29, Dev45, Dev46],Fit: [0.92, 0.75, 0.75, 0.83],Nível: [Middle, Senior, Junior, Master],Total Fit: 0.58
Cromossomo: 25,IDs: [81, 28, 38, 85],Nomes: [Dev81, Dev28, Dev38, Dev85],Fit: [0.83, 0.75, 0.83, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 26,IDs: [104, 48, 17, 89],Nomes: [Dev104, Dev48, Dev17, Dev89],Fit: [0.58, 0.92, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 27,IDs: [55, 97, 94, 62],Nomes: [Dev55, Dev97, Dev94, Dev62],Fit: [0.75, 0.75, 0.67, 0.58],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 28,IDs: [7, 29, 45, 46],Nomes: [Dev7, Dev29, Dev45, Dev46],Fit: [0.92, 0.75, 0.75, 0.83],Nível: [Middle, Senior, Junior, Master],Total Fit: 0.58
Cromossomo: 29,IDs: [55, 48, 17, 89],Nomes: [Dev55, Dev48, Dev17, Dev89],Fit: [0.75, 0.92, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 30,IDs: [104, 97, 94, 62],Nomes: [Dev104, Dev97, Dev94, Dev62],Fit: [0.58, 0.75, 0.67, 0.58],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 31,IDs: [],Nomes: [],Fit: [],Nível: [],Total Fit: 0.00
Cromossomo: 32,IDs: [7, 29, 45, 46],Nomes: [Dev7, Dev29, Dev45, Dev46],Fit: [0.92, 0.75, 0.75, 0.83],Nível: [Middle, Senior, Junior, Master],Total Fit: 0.58
Cromossomo: 33,IDs: [104, 48, 17, 89],Nomes: [Dev104, Dev48, Dev17, Dev89],Fit: [0.58, 0.92, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 34,IDs: [81, 16, 65, 85],Nomes: [Dev81, Dev16, Dev65, Dev85],Fit: [0.83, 0.58, 0.58, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 35,IDs: [55, 97, 94, 62],Nomes: [Dev55, Dev97, Dev94, Dev62],Fit: [0.75, 0.75, 0.67, 0.58],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 36,IDs: [7, 29, 45, 46],Nomes: [Dev7, Dev29, Dev45, Dev46],Fit: [0.92, 0.75, 0.75, 0.83],Nível: [Middle, Senior, Junior, Master],Total Fit: 0.58
Cromossomo: 37,IDs: [55, 97, 17, 89],Nomes: [Dev55, Dev97, Dev17, Dev89],Fit: [0.75, 0.75, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 38,IDs: [104, 48, 94, 62],Nomes: [Dev104, Dev48, Dev94, Dev62],Fit: [0.58, 0.92, 0.67, 0.58],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 39,IDs: [],Nomes: [],Fit: [],Nível: [],Total Fit: 0.00
Cromossomo: 40,IDs: [7, 29, 45, 46],Nomes: [Dev7, Dev29, Dev45, Dev46],Fit: [0.92, 0.75, 0.75, 0.83],Nível: [Middle, Senior, Junior, Master],Total Fit: 0.58
Cromossomo: 41,IDs: [104, 48, 17, 89],Nomes: [Dev104, Dev48, Dev17, Dev89],Fit: [0.58, 0.92, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 42,IDs: [82, 16, 38, 85],Nomes: [Dev82, Dev16, Dev38, Dev85],Fit: [0.75, 0.58, 0.83, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 43,IDs: [55, 97, 94, 62],Nomes: [Dev55, Dev97, Dev94, Dev62],Fit: [0.75, 0.75, 0.67, 0.58],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 44,IDs: [7, 29, 45, 46],Nomes: [Dev7, Dev29, Dev45, Dev46],Fit: [0.92, 0.75, 0.75, 0.83],Nível: [Middle, Senior, Junior, Master],Total Fit: 0.58
Cromossomo: 45,IDs: [104, 48, 38, 85],Nomes: [Dev104, Dev48, Dev38, Dev85],Fit: [0.58, 0.92, 0.83, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 46,IDs: [82, 16, 17, 89],Nomes: [Dev82, Dev16, Dev17, Dev89],Fit: [0.75, 0.58, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 47,IDs: [],Nomes: [],Fit: [],Nível: [],Total Fit: 0.00
Cromossomo: 48,IDs: [7, 29, 45, 46],Nomes: [Dev7, Dev29, Dev45, Dev46],Fit: [0.92, 0.75, 0.75, 0.83],Nível: [Middle, Senior, Junior, Master],Total Fit: 0.58
Cromossomo: 49,IDs: [104, 48, 17, 89],Nomes: [Dev104, Dev48, Dev17, Dev89],Fit: [0.58, 0.92, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 50,IDs: [82, 16, 38, 85],Nomes: [Dev82, Dev16, Dev38, Dev85],Fit: [0.75, 0.58, 0.83, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 51,IDs: [],Nomes: [],Fit: [],Nível: [],Total Fit: 0.00
Cromossomo: 52,IDs: [7, 29, 45, 46],Nomes: [Dev7, Dev29, Dev45, Dev46],Fit: [0.92, 0.75, 0.75, 0.83],Nível: [Middle, Senior, Junior, Master],Total Fit: 0.58
Cromossomo: 53,IDs: [82, 48, 17, 89],Nomes: [Dev82, Dev48, Dev17, Dev89],Fit: [0.75, 0.92, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 54,IDs: [47, 97, 94, 85],Nomes: [Dev47, Dev97, Dev94, Dev85],Fit: [0.83, 0.75, 0.67, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 55,IDs: [104, 16, 38, 327],Nomes: [Dev104, Dev16, Dev38, Dev327],Fit: [0.58, 0.58, 0.83, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 56,IDs: [7, 29, 45, 46],Nomes: [Dev7, Dev29, Dev45, Dev46],Fit: [0.92, 0.75, 0.75, 0.83],Nível: [Middle, Senior, Junior, Master],Total Fit: 0.58
Cromossomo: 57,IDs: [56, 48, 17, 62],Nomes: [Dev56, Dev48, Dev17, Dev62],Fit: [0.75, 0.92, 0.75, 0.58],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.18
Cromossomo: 58,IDs: [47, 16, 38, 327],Nomes: [Dev47, Dev16, Dev38, Dev327],Fit: [0.83, 0.58, 0.83, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 59,IDs: [104, 97, 94, 85],Nomes: [Dev104, Dev97, Dev94, Dev85],Fit: [0.58, 0.75, 0.67, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 60,IDs: [7, 29, 45, 46],Nomes: [Dev7, Dev29, Dev45, Dev46],Fit: [0.92, 0.75, 0.75, 0.83],Nível: [Middle, Senior, Junior, Master],Total Fit: 0.58
Cromossomo: 61,IDs: [47, 48, 17, 62],Nomes: [Dev47, Dev48, Dev17, Dev62],Fit: [0.83, 0.92, 0.75, 0.58],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 62,IDs: [56, 16, 38, 327],Nomes: [Dev56, Dev16, Dev38, Dev327],Fit: [0.75, 0.58, 0.83, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 63,IDs: [],Nomes: [],Fit: [],Nível: [],Total Fit: 0.00
Cromossomo: 64,IDs: [7, 29, 45, 46],Nomes: [Dev7, Dev29, Dev45, Dev46],Fit: [0.92, 0.75, 0.75, 0.83],Nível: [Middle, Senior, Junior, Master],Total Fit: 0.58
Cromossomo: 65,IDs: [56, 16, 17, 62],Nomes: [Dev56, Dev16, Dev17, Dev62],Fit: [0.75, 0.58, 0.75, 0.58],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.16
Cromossomo: 66,IDs: [47, 48, 38, 327],Nomes: [Dev47, Dev48, Dev38, Dev327],Fit: [0.83, 0.92, 0.83, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 67,IDs: [104, 8, 65, 89],Nomes: [Dev104, Dev8, Dev65, Dev89],Fit: [0.58, 0.75, 0.58, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 68,IDs: [7, 29, 45, 46],Nomes: [Dev7, Dev29, Dev45, Dev46],Fit: [0.92, 0.75, 0.75, 0.83],Nível: [Middle, Senior, Junior, Master],Total Fit: 0.58
Cromossomo: 69,IDs: [53, 97, 38, 85],Nomes: [Dev53, Dev97, Dev38, Dev85],Fit: [0.58, 0.75, 0.83, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.45
Cromossomo: 70,IDs: [56, 8, 65, 89],Nomes: [Dev56, Dev8, Dev65, Dev89],Fit: [0.75, 0.75, 0.58, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 71,IDs: [104, 16, 17, 62],Nomes: [Dev104, Dev16, Dev17, Dev62],Fit: [0.58, 0.58, 0.75, 0.58],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.02
Cromossomo: 72,IDs: [7, 29, 45, 46],Nomes: [Dev7, Dev29, Dev45, Dev46],Fit: [0.92, 0.75, 0.75, 0.83],Nível: [Middle, Senior, Junior, Master],Total Fit: 0.58
Cromossomo: 73,IDs: [47, 8, 27, 89],Nomes: [Dev47, Dev8, Dev27, Dev89],Fit: [0.83, 0.75, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 74,IDs: [104, 16, 38, 85],Nomes: [Dev104, Dev16, Dev38, Dev85],Fit: [0.58, 0.58, 0.83, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 75,IDs: [53, 97, 17, 62],Nomes: [Dev53, Dev97, Dev17, Dev62],Fit: [0.58, 0.75, 0.75, 0.58],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 76,IDs: [7, 29, 45, 46],Nomes: [Dev7, Dev29, Dev45, Dev46],Fit: [0.92, 0.75, 0.75, 0.83],Nível: [Middle, Senior, Junior, Master],Total Fit: 0.58
Cromossomo: 77,IDs: [47, 16, 38, 85],Nomes: [Dev47, Dev16, Dev38, Dev85],Fit: [0.83, 0.58, 0.83, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 78,IDs: [104, 8, 27, 89],Nomes: [Dev104, Dev8, Dev27, Dev89],Fit: [0.58, 0.75, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 79,IDs: [53, 48, 94, 62],Nomes: [Dev53, Dev48, Dev94, Dev62],Fit: [0.58, 0.92, 0.67, 0.58],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 80,IDs: [7, 29, 45, 46],Nomes: [Dev7, Dev29, Dev45, Dev46],Fit: [0.92, 0.75, 0.75, 0.83],Nível: [Middle, Senior, Junior, Master],Total Fit: 0.58
Cromossomo: 81,IDs: [53, 48, 27, 89],Nomes: [Dev53, Dev48, Dev27, Dev89],Fit: [0.58, 0.92, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.12
Cromossomo: 82,IDs: [104, 8, 94, 62],Nomes: [Dev104, Dev8, Dev94, Dev62],Fit: [0.58, 0.75, 0.67, 0.58],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 83,IDs: [],Nomes: [],Fit: [],Nível: [],Total Fit: 0.00
Cromossomo: 84,IDs: [7, 29, 45, 46],Nomes: [Dev7, Dev29, Dev45, Dev46],Fit: [0.92, 0.75, 0.75, 0.83],Nível: [Middle, Senior, Junior, Master],Total Fit: 0.58
Cromossomo: 85,IDs: [53, 48, 94, 46],Nomes: [Dev53, Dev48, Dev94, Dev46],Fit: [0.58, 0.92, 0.67, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.18
Cromossomo: 86,IDs: [104, 8, 27, 89],Nomes: [Dev104, Dev8, Dev27, Dev89],Fit: [0.58, 0.75, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 87,IDs: [81, 62, 16, 65],Nomes: [Dev81, Dev62, Dev16, Dev65],Fit: [0.83, 0.58, 0.58, 0.58],Nível: [Junior, Master, Middle, Senior],Total Fit: 0.03
Cromossomo: 88,IDs: [7, 29, 45, 46],Nomes: [Dev7, Dev29, Dev45, Dev46],Fit: [0.92, 0.75, 0.75, 0.83],Nível: [Middle, Senior, Junior, Master],Total Fit: 0.58
Cromossomo: 89,IDs: [53, 48, 27, 89],Nomes: [Dev53, Dev48, Dev27, Dev89],Fit: [0.58, 0.92, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.12
Cromossomo: 90,IDs: [55, 28, 17, 85],Nomes: [Dev55, Dev28, Dev17, Dev85],Fit: [0.75, 0.75, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 91,IDs: [104, 8, 94, 46],Nomes: [Dev104, Dev8, Dev94, Dev46],Fit: [0.58, 0.75, 0.67, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 92,IDs: [7, 29, 45, 46],Nomes: [Dev7, Dev29, Dev45, Dev46],Fit: [0.92, 0.75, 0.75, 0.83],Nível: [Middle, Senior, Junior, Master],Total Fit: 0.58
Cromossomo: 93,IDs: [55, 48, 27, 89],Nomes: [Dev55, Dev48, Dev27, Dev89],Fit: [0.75, 0.92, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.13
Cromossomo: 94,IDs: [53, 28, 17, 85],Nomes: [Dev53, Dev28, Dev17, Dev85],Fit: [0.58, 0.75, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 95,IDs: [],Nomes: [],Fit: [],Nível: [],Total Fit: 0.00
Cromossomo: 96,IDs: [7, 29, 45, 46],Nomes: [Dev7, Dev29, Dev45, Dev46],Fit: [0.92, 0.75, 0.75, 0.83],Nível: [Middle, Senior, Junior, Master],Total Fit: 0.58
Cromossomo: 97,IDs: [53, 48, 27, 89],Nomes: [Dev53, Dev48, Dev27, Dev89],Fit: [0.58, 0.92, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.12
Cromossomo: 98,IDs: [55, 28, 17, 85],Nomes: [Dev55, Dev28, Dev17, Dev85],Fit: [0.75, 0.75, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 99,IDs: [104, 16, 94, 62],Nomes: [Dev104, Dev16, Dev94, Dev62],Fit: [0.58, 0.58, 0.67, 0.58],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.02
Cromossomo: 100,IDs: [7, 29, 45, 46],Nomes: [Dev7, Dev29, Dev45, Dev46],Fit: [0.92, 0.75, 0.75, 0.83],Nível: [Middle, Senior, Junior, Master],Total Fit: 0.58
Cromossomo: 101,IDs: [104, 16, 27, 89],Nomes: [Dev104, Dev16, Dev27, Dev89],Fit: [0.58, 0.58, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.14
Cromossomo: 102,IDs: [17, 55, 97, 85],Nomes: [Dev17, Dev55, Dev97, Dev85],Fit: [0.75, 0.75, 0.75, 0.83],Nível: [Senior, Junior, Middle, Master],Total Fit: 0.03
Cromossomo: 103,IDs: [53, 48, 94, 62],Nomes: [Dev53, Dev48, Dev94, Dev62],Fit: [0.58, 0.92, 0.67, 0.58],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 104,IDs: [7, 29, 45, 46],Nomes: [Dev7, Dev29, Dev45, Dev46],Fit: [0.92, 0.75, 0.75, 0.83],Nível: [Middle, Senior, Junior, Master],Total Fit: 0.58
Cromossomo: 105,IDs: [53, 48, 27, 89],Nomes: [Dev53, Dev48, Dev27, Dev89],Fit: [0.58, 0.92, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.12
Cromossomo: 106,IDs: [38, 82, 28, 85],Nomes: [Dev38, Dev82, Dev28, Dev85],Fit: [0.83, 0.75, 0.75, 0.83],Nível: [Senior, Junior, Middle, Master],Total Fit: 0.03
Cromossomo: 107,IDs: [104, 16, 94, 62],Nomes: [Dev104, Dev16, Dev94, Dev62],Fit: [0.58, 0.58, 0.67, 0.58],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.02
Cromossomo: 108,IDs: [7, 29, 45, 46],Nomes: [Dev7, Dev29, Dev45, Dev46],Fit: [0.92, 0.75, 0.75, 0.83],Nível: [Middle, Senior, Junior, Master],Total Fit: 0.58
Cromossomo: 109,IDs: [104, 48, 27, 89],Nomes: [Dev104, Dev48, Dev27, Dev89],Fit: [0.58, 0.92, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.12
Cromossomo: 110,IDs: [56, 28, 17, 85],Nomes: [Dev56, Dev28, Dev17, Dev85],Fit: [0.75, 0.75, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 111,IDs: [53, 16, 94, 62],Nomes: [Dev53, Dev16, Dev94, Dev62],Fit: [0.58, 0.58, 0.67, 0.58],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.02
Cromossomo: 112,IDs: [7, 29, 45, 46],Nomes: [Dev7, Dev29, Dev45, Dev46],Fit: [0.92, 0.75, 0.75, 0.83],Nível: [Middle, Senior, Junior, Master],Total Fit: 0.58
Cromossomo: 113,IDs: [104, 48, 17, 85],Nomes: [Dev104, Dev48, Dev17, Dev85],Fit: [0.58, 0.92, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 114,IDs: [56, 28, 27, 89],Nomes: [Dev56, Dev28, Dev27, Dev89],Fit: [0.75, 0.75, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 115,IDs: [81, 8, 38, 62],Nomes: [Dev81, Dev8, Dev38, Dev62],Fit: [0.83, 0.75, 0.83, 0.58],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 116,IDs: [7, 29, 45, 46],Nomes: [Dev7, Dev29, Dev45, Dev46],Fit: [0.92, 0.75, 0.75, 0.83],Nível: [Middle, Senior, Junior, Master],Total Fit: 0.58
Cromossomo: 117,IDs: [81, 48, 17, 85],Nomes: [Dev81, Dev48, Dev17, Dev85],Fit: [0.83, 0.92, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 118,IDs: [104, 8, 38, 62],Nomes: [Dev104, Dev8, Dev38, Dev62],Fit: [0.58, 0.75, 0.83, 0.58],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 119,IDs: [],Nomes: [],Fit: [],Nível: [],Total Fit: 0.00
Cromossomo: 120,IDs: [7, 29, 45, 46],Nomes: [Dev7, Dev29, Dev45, Dev46],Fit: [0.92, 0.75, 0.75, 0.83],Nível: [Middle, Senior, Junior, Master],Total Fit: 0.58
Cromossomo: 121,IDs: [81, 48, 38, 62],Nomes: [Dev81, Dev48, Dev38, Dev62],Fit: [0.83, 0.92, 0.83, 0.58],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 122,IDs: [104, 8, 17, 85],Nomes: [Dev104, Dev8, Dev17, Dev85],Fit: [0.58, 0.75, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 123,IDs: [47, 16, 65, 89],Nomes: [Dev47, Dev16, Dev65, Dev89],Fit: [0.83, 0.58, 0.58, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 124,IDs: [7, 29, 45, 46],Nomes: [Dev7, Dev29, Dev45, Dev46],Fit: [0.92, 0.75, 0.75, 0.83],Nível: [Middle, Senior, Junior, Master],Total Fit: 0.58
Cromossomo: 125,IDs: [55, 48, 27, 62],Nomes: [Dev55, Dev48, Dev27, Dev62],Fit: [0.75, 0.92, 0.75, 0.58],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.12
Cromossomo: 126,IDs: [47, 16, 17, 85],Nomes: [Dev47, Dev16, Dev17, Dev85],Fit: [0.83, 0.58, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 127,IDs: [104, 8, 65, 89],Nomes: [Dev104, Dev8, Dev65, Dev89],Fit: [0.58, 0.75, 0.58, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 128,IDs: [7, 29, 45, 46],Nomes: [Dev7, Dev29, Dev45, Dev46],Fit: [0.92, 0.75, 0.75, 0.83],Nível: [Middle, Senior, Junior, Master],Total Fit: 0.58
Cromossomo: 129,IDs: [85, 47, 28, 17],Nomes: [Dev85, Dev47, Dev28, Dev17],Fit: [0.83, 0.83, 0.75, 0.75],Nível: [Master, Junior, Middle, Senior],Total Fit: 0.03
Cromossomo: 130,IDs: [55, 48, 65, 89],Nomes: [Dev55, Dev48, Dev65, Dev89],Fit: [0.75, 0.92, 0.58, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 131,IDs: [104, 8, 27, 62],Nomes: [Dev104, Dev8, Dev27, Dev62],Fit: [0.58, 0.75, 0.75, 0.58],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 132,IDs: [7, 29, 45, 46],Nomes: [Dev7, Dev29, Dev45, Dev46],Fit: [0.92, 0.75, 0.75, 0.83],Nível: [Middle, Senior, Junior, Master],Total Fit: 0.58
Cromossomo: 133,IDs: [55, 48, 27, 62],Nomes: [Dev55, Dev48, Dev27, Dev62],Fit: [0.75, 0.92, 0.75, 0.58],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.12
Cromossomo: 134,IDs: [17, 81, 85, 16],Nomes: [Dev17, Dev81, Dev85, Dev16],Fit: [0.75, 0.83, 0.83, 0.58],Nível: [Senior, Junior, Master, Middle],Total Fit: 0.03
